Who is the current Prime Minister of New Zealand?,Jacinda Ardern,D,John Key,The Queen,Bill English,Jacinda Ardern,1
Who is the current President of the United States of America?,Joe Biden,B,Barak Obama,Joe Biden,Donald Trump,Kanye West,1
What is the only month of the year without thirty or thirty one days?,Febuary,C,January,March,Febuary,December ,1
How many people make up a dozen in a group?,Twelve,C,Ten,Hundred,Twelve,Thousand,1
What is the national bird of New Zealand?,Kiwi bird,A,Kiwi bird,Tui,Pokeko,Kangaroo,1
A popular expression goes “A bird in the hand is worth two in the” what?,Bush,B,Tree,Bush,House,Birdhouse,1
Who is the CEO of Tesla?,Elon Musk,B,Jeff Bezos,Elon Musk,Bill Gates,Warren Buffet,1
What is the square root of forty nine?,Seven,C,Eight,Nine,Seven,Ten,1
What is the name of the gas used by humans to breathe?,Oxygen,D,Carbon Dioxide,Nitrogen,Potasium,Oxygen,2
What is the name of the mars rover NASA launched in 2021?,Perseverance,A,Perseverance,Curiosity ,Archie,Endurance,2
How many stars are on the New Zealand flag?,Four,C,Five,Two,Four,Fifty,2
Who was the first black President of the United States of America?,Barack Obama,D,Kanye West,Martha Stewert,Donald Trump,Barack Obama,2
What is the name given to the national rugby team of New Zealand?,All Blacks,A,All Blacks,All ferms,Strong Blacks,Blackcaps,2
What is the capital of New Zealand?,Wellington,B,Auckland,Wellington,Queenstown,Wanaka,2
What is the instrument commonly used by travellers to navigate?,Compass ,B,The sun,Compass,spanner,Hammer,2
Which of the options is the largest animal?,Sperm whale,D,Hippo,Walrus,Hammer head shark,Sperm whale ,2
The ancient city of Chichén Itzá was built by which civilization?,Mayans,B,Aztecs,Mayans,Maori,Spaniards,2
Who was the first human to set foot on the moon?,Neil Armstrong,C,Elon Musk,Erioch Kripchoge,Neil Armstrong ,Buzz aldrin,3
What part of the atom has no electric charge?,Neutrons,C,Protons,Electrons,Neutrons,Elements,3
In what year did we enter the new millennium?,Two Thousand,C,2020,1995,2000,1000,3
What is the name of the closest planet to earth?,Mars,B,Venus,Mars,The moon,Saturn,3
What does “HTTP” stand for?,HyperText Transfer Protocol,C,HyperTime Trap Protocol,Happy To Take Protocol,HyperText Transfer Protocol,HyperText Transfers Project,3
What is the colour associated with the Coca Cola logo?,Red,C,Purple,Black,Red,Green,3
What flavor is Cointreau?,Orange,A,Orange,Lemon,Cherry,Pear,3
How many stars are on the Australian flag?,Five ,B,Four,Five ,Ten,Two,3
How many people are on the field in a game of Rugby?,Fifteen,B,Twelve,Fifteen,Eleven,Ten,4
In what year was McDonald's founded?,1955,C,1930,1948,1955,1951,4
What colour do you get when yellow is mixed with blue?,Green,D,Yellow,Purple,Magenta,Green,4
What is the name of the party lead by David Seymor?,ACT,A,ACT,Green,Labour,Mana,4
In which movie does a character by the name of Buzz Lightyear star?,Toy Story,C,Avatar,Cars,Toy Story,Mulan,4
What is the approximate population of New Zealand?,Five Million ,D,Four Million,Ten Millinon,Hundred thousand,Five Million ,4
What is the nickname given to the traffic control personnel in construction companies?,Lollipop man,C,Car Direction man,Trafic Light,Lollipop man,STMS,4
What animal is referred to as a parliament when in a group?,Owls,D,Crows,Pheasants,Magpies,Owls,4
What is the name of the largest construction company in New Zealand?,Fletcher,A,Fletcher,Fultan Hogan,Watercare,Dempseywood,5
In which country is the head office of Samsung located?,Korea,C,Japan,USA,Korea,China,5
What is the name of the first Apple computer to ever be produced?,Macintosh,D,Apple II,Mac,PowerBook,Macintosh,5
What was the name of the space ship which took the first men to the moon?,Apollo 11,A,Apollo 11,Apollo 12,Apollo 13 ,Space shuttle,5
Where does the term mocha come from?,Yemen,A,Yemen,France,Italy,Turkey,5
In which year did the Blackcaps famously lose the cricket world cup final in a super over?,2019,B,2015,2019,2011,2016,5
What is the famous name of the reindeer featured in Christmas cartoons and stories?,Rudolf,C,Jack,Garry,Rudolf,Ben,5
What is the name of the Headmaster in the children's novel “Harry Potter”?,Dumbledore,B,Hagrrid,Dumbledore,Ron Weasley,Hermione Granger,6
Where in New Zealand can you obtain the famous Ferg Burger?,Queenstown,C,Taupo,Auckland,Queenstown,Wellington,6
Prior to John Key who was the Prime Minister of New Zealand?,Helen Clark,B,John Key,Helen Clark,The Queen,Bill English,6
How many people are on the field in a game of cricket?,Eleven,C,Tweleve,Ten,Eleven,Thirteen,6
Mahatma Gandhi was a famous freedom fighter from which country?,India,D,China,New Zealand,Pakistan,India,6
Which country has the largest population in the world?,China,A,China,India,USA,Russia,6
What was the name of Harry Potter's best friend?,Ron Weasley,C,Herminone Granger,Haggrid,Ron Weasley,Dursley,6
How many colours are in a rainbow?,Seven,D,Ten,Twelve,Fifteen,Seven,7
What’s the medical term for bad breath?,Halitosis,A,Halitosis,Narcolepsy,Eisoptrophobia,Rheumatism,7
What is the name of the all time top goal scorer of Barcelona?,Messi,C,Ronaldo,Perres,Messi,Torres,7
